"...1","id","region","municipality","settlement","type","population","children","latitude_dms","longitude_dms","latitude_dd","longitude_dd","oktmo","dadata","rosstat","Index_2000","Index100_2000","Value_2000","Index_2001","Index100_2001","Value_2001","Index_2002","Index100_2002","Value_2002","Index_2003","Index100_2003","Value_2003","Index_2004","Index100_2004","Value_2004","Index_2005","Index100_2005","Value_2005","Index_2006","Index100_2006","Value_2006","Index_2007","Index100_2007","Value_2007","Index_2008","Index100_2008","Value_2008","Index_2009","Index100_2009","Value_2009","Index_2010","Index100_2010","Value_2010","Index_2011","Index100_2011","Value_2011","Index_2012","Index100_2012","Value_2012","Index_2013","Index100_2013","Value_2013","Index_2014","Index100_2014","Value_2014","Index_2015","Index100_2015","Value_2015","Index_2016","Index100_2016","Value_2016","Index_2017","Index100_2017","Value_2017","Index_2018","Index100_2018","Value_2018","Index_2019","Index100_2019","Value_2019","Index_2020","Index100_2020","Value_2020","Index_2021","Index100_2021","Value_2021","Type_2000","Type_2001","Type_2002","Type_2003","Type_2004","Type_2005","Type_2006","Type_2007","Type_2008","Type_2009","Type_2010","Type_2011","Type_2012","Type_2013","Type_2014","Type_2015","Type_2016","Type_2017","Type_2018","Type_2019","Type_2020","Type_2021"
122781,122780,"Мурманская область","Городской округ ЗАТО город Заозёрск","Заозерск","г",10019,2385,"69.24.01","032.27.00",69.4002777777778,32.45,47733000001,0,1,-0.387826855676639,41.2893958702913,777.812056988217,-0.410741799321055,41.1398394476681,777.778225055298,-0.801225190919528,41.0830815404354,776.940708838565,-1.12295177690626,41.0187622190903,778.312852073127,-1.17854745910216,40.2007779778367,776.708261029383,-0.286152753966008,41.032947798296,776.973591472757,-1.61981047251258,40.9893409005684,775.972991347465,-0.335820803953473,41.7612639164591,777.230703839833,-0.180433484501626,42.1979221188615,776.955945285571,-1.13526660272399,42.0655103979116,776.204096310969,-0.885952776901819,41.0796934695395,776.184126570953,-1.04158072164693,39.8184215481868,776.952868720533,-1.52506342213724,40.9166605368948,776.723017896281,-0.749314307815588,41.605645013864,777.476918842222,-0.289749694852762,41.89810659862,777.527956707837,-1.34346875864038,40.99120174359,777.152244501424,-0.0950427829356648,40.6432053304427,777.006355572381,-0.627151977906738,40.9353791910684,777.966353628218,-0.6430783828773,40.3129919453482,775.990430539193,0.294558328858332,40.8592092547652,777.811677924204,0.0719613780088848,40.6085424059296,776.577264191541,-1.62342341195381,41.507393698536,777.40195784636,2,2,2,2,1,1,0,0,1,1,2,2,3,2,3,2,3,4,5,5,5,5
48984,48983,"Псковская область","Печорский район","Печоры","г",10034,2221,"57.48.50","027.36.33",57.8138888888889,27.6091666666667,58640101001,0,1,1.2973439922333,42.2775595943577,6872.032349682,2.37641718185399,43.8084565399624,NA,2.12982111017671,42.3627330422116,6870.47897897737,1.83832857670951,43.2363343668849,6872.47115501256,-1.3091396206845,41.9743069517716,6869.74814314869,2.45217269819188,43.0609435673577,6871.11919106886,0.354161778821991,43.6172811175258,6870.07558079455,2.74321893217046,42.2601794044328,6871.44147126962,2.43597886225895,43.6185528393998,6870.28207022641,1.2789354830016,43.6530852895112,6870.72528123431,1.63579398803878,42.6422967448109,6868.55353660982,1.11323396236384,40.8217532419786,6870.1906683863,-0.23367232979413,41.5236116191088,6871.4351530792,1.6435047110928,43.7730399562775,6871.02118286734,2.82578917139386,43.1484204437785,6870.13982875236,-0.208717791694354,42.8715788307856,6871.88232776192,1.13815759533986,42.4408447603751,6871.5478225874,0.631238121041012,42.9255833453699,6870.81614275823,2.09333565054307,41.9480736006016,6869.90513723028,1.90352544428817,42.3005464950618,6872.84546679801,2.58073168772783,42.0806026056384,6869.48691772947,1.10684900815305,NA,6872.45908710948,5,5,5,5,5,5,5,4,3,4,3,3,2,2,2,3,3,4,4,3,2,3
36981,36980,"Архангельская область","Каргопольский муниципальный район","Каргополь","г",10037,2520,"61.30.19","038.56.50",61.5052777777778,38.9472222222222,11618101001,1,0,-0.706424639959556,51.0135469110676,8304.80678853841,2.34815381407103,51.0831531223345,8302.47442983914,0.123791611414236,49.7923897748067,8301.30420769772,1.1024067229491,50.1036713225713,8304.99767351589,-1.51839362497933,48.7340544008399,8301.44197229802,0.927352704401928,50.5386352239839,8302.82282084927,-0.583654294124436,52.2304769343639,8302.47975372037,0.9068663336968,50.5008262124452,8303.95658321017,0.0288141276384623,52.9285366326172,8302.68495019616,0.336400930289358,52.1574507482948,8301.15284368002,0.277277536007464,50.3242156954537,8299.96485864958,-0.655648894880513,49.752362747901,8302.57283773544,-2.29510683471433,48.3608389876439,8303.09173575036,-0.0642292254549893,51.3207521759405,8302.59184336571,0.952127033969341,51.6501949822123,8300.7832341293,-1.28086711771476,52.2968128628651,8303.74311102429,0.129439679135954,50.1855016186458,8304.24791426725,-0.0850936742393982,51.52061448942,8304.10708756648,0.414204839970141,50.5180112518465,8301.01150560271,-0.101656406203031,50.7565207770225,8305.38631136057,-0.567058590800866,50.6343221630469,8302.75714189004,1.3695692734281,51.5291659294678,8303.62739703546,2,1,0,0,1,2,2,1,1,1,0,1,1,1,1,0,0,0,1,2,2,1
61325,61324,"Кировская область","Уржумский район","Уржум","г",10040,2262,"57.06.35","050.00.21",57.1097222222222,50.0058333333333,33641101001,0,1,1.18494487659251,45.5079156274293,1461.01395915807,4.50059581089616,45.0876023926164,1459.2063952896,1.49536762906294,44.0834225037775,1458.04735692644,2.36995380929478,44.964095156932,1461.50780375576,1.63106524956372,41.8852401465239,1459.11933621712,2.30323533417438,45.7788878655937,1459.10691146332,-0.00466742325971037,46.5172243156141,1459.18875629005,2.78016734582072,44.5117575337997,1460.24795653006,1.38714934146865,46.3047214833334,1459.74107701199,1.59700856959299,46.2523426342297,1457.54772764283,2.03333655587936,45.0504071769194,1456.82553655375,1.31949522038062,43.4690292731957,1459.39460780442,0.5593985411921,43.0535383787963,1459.33972590357,1.37812319575674,44.5461112422694,1458.32007170299,2.13739363903623,46.6215100850819,1457.51447189212,-0.120145264698758,46.3987248806493,1459.344228497,3.0342108194759,44.8815668745361,1459.33356629645,1.8344320443727,45.9609239977761,1461.25480423938,3.11117856089319,45.0139755357822,1457.07545323859,1.41774711013978,45.8050163888778,1461.98920068448,0.877440555899792,45.4559625204892,1459.78287749761,2.79413012880554,45.2228712814329,1462.09591250634,1,0,1,2,1,0,0,1,1,0,0,0,0,1,2,2,2,3,2,3,3,3
146745,146744,"Нижегородская область","Володарский район","Володарск","г",10040,1789,"56.13.01","043.09.35",56.2169444444444,43.1597222222222,22631103001,0,1,2.37588082923695,63.3180380791756,7837.08909282893,4.11804836801624,62.8958158562144,7834.23990473432,1.29143661332344,61.5405456391425,7834.24125713646,2.89925987177719,62.3340628396951,7837.9548794482,1.09010755151591,58.4979097342185,7834.88856283693,NA,62.4206695320555,7834.51788473647,1.18794087652292,62.6239760735294,7833.66263195303,4.15569701139222,62.7830534481682,7835.59909412077,1.75241625445346,64.3187266227662,7835.83156858852,1.91573511519336,64.0394417990979,7832.56105114447,2.53461024837319,63.008969937127,7831.93379077533,1.07977112329899,61.0685874402911,7835.23149065603,1.44741512528539,61.0502941907724,7834.76005483981,1.65829530796834,60.5034946718493,7834.47681296909,2.43779422611919,63.629374473027,7833.18378025213,2.02430068919243,63.5683805675268,7835.25254798992,3.11689122889639,62.7316723373621,7835.68511991964,2.63711700792185,62.9093363111311,7835.61872893861,3.02950546921572,61.6274422258731,7831.92186553964,2.14462379354414,63.404733385194,7837.40312686111,0.943357831016377,62.6148295348706,NA,2.95936864428994,61.6864940731695,7837.11894507273,1,0,0,1,0,0,0,1,0,0,1,2,2,2,2,3,3,2,3,2,3,2
58422,58421,"Республика Карелия","Беломорский","Беломорск","г",10052,2215,"64.31.23","034.46.00",64.5230555555556,34.7666666666667,86604101001,0,1,-1.64848846443123,15.2862443653945,4866.17528110039,1.25553763249584,15.8008852429427,4863.01192791773,-3.39770041403912,12.9822457926631,4864.46075112852,-1.54029446579704,14.4045628727375,4866.88589904923,-2.60721085357672,9.41448928466613,4863.89465737364,0.265172073761399,14.2074873823279,4863.75819950152,-1.41240893808066,15.0536998044062,4863.67883077998,0.345724492407988,14.5869027230261,4864.80567430452,-1.02654208500429,16.1631408253942,4865.13413423141,-1.6939331089506,15.8640433770114,4861.18417920028,-0.489290034306418,15.3975223461053,4861.03943808114,-2.23783036003501,12.7501980815859,4864.32228641082,-1.71666240420788,12.0009743956875,4864.5302168525,-1.77587745015492,12.5286023145771,4864.00681382919,0.973624016206801,NA,4861.06569641521,-1.49054839394417,15.5798254444712,4864.9469697099,0.553144749999094,15.2734263973163,4863.93658469913,-0.789791671618261,13.7054000711286,4865.36432036812,-0.850603853125109,14.17972655521,4860.85955489498,-3.22820722015753,16.1094390218317,4866.57262426858,-3.41199777996565,13.7767070082923,4864.37048674971,-0.424459971322259,13.5967752565066,4866.7383436377,5,5,5,5,5,5,5,5,4,3,2,1,0,0,1,1,1,2,2,3,4,3
45732,45731,"Смоленская область","Ельнинский район","Ельня","г",10070,1761,"54.34.34","033.10.46",54.5761111111111,33.1794444444444,66619101001,0,1,0.672379795961205,91.9418047106012,9893.82326424694,3.81906481271085,92.8959422732773,9891.32308764561,-0.89376476315821,91.1599852663031,9892.17479223774,0.0569709718834199,90.0441309549768,9894.97109332993,0.285677814350315,86.2863684327668,9892.15966978721,2.53328533411277,91.1106169900802,9892.17185246311,-0.282534362590026,91.6049492503771,9890.7809189772,0.453093727611304,91.4551070939635,9894.42438151383,0.367454356803928,92.444247724352,9893.56744039889,1.07290737497573,92.8265072048173,9888.0770922783,1.34254614954802,93.0819669329367,9888.92012977978,-0.3643728301646,89.1995947329448,9893.22621919607,0.994357337825943,88.6073812841946,9892.03261411692,0.0245859016946601,89.9051273871194,9891.59572508189,2.6037888792765,92.2485781754526,9888.14163157324,0.481825063939191,92.342131250157,9892.31399557737,2.93242670661386,93.4578201725205,9891.34284766152,1.74835235969697,89.3251265507907,9893.08539589029,1.09735761252223,92.0216537308448,9889.30299347447,-1.12462093343364,92.4527378230312,9893.96545549211,-1.67305874825887,92.3064780881023,9892.56751793754,3.4020075766108,91.0392572048753,9892.94509289847,2,1,2,3,2,3,4,3,3,4,4,5,5,4,3,3,3,4,4,4,4,4
93506,93505,"Республика Северная Осетия - Алания","Дигорский","Дигора","г",10075,2953,"43.09.24","044.09.18",43.1566666666667,44.155,90615101001,1,0,2.36844452924469,58.0376859761972,4994.2620409303,5.10954495096704,59.0360022762443,4990.85164971918,0.698148214950931,55.7355896140312,4990.68010386551,2.64582954327445,55.7271602833911,4993.28772181386,2.44173505587503,53.5549971110939,4990.95496147492,2.55940560871029,57.3454735959567,4991.20694908064,1.50533025633332,56.7721935855763,4990.0236729862,2.27013660351303,58.0934895546643,4993.40133542202,1.66782038285479,57.697928861629,4991.63526515657,3.29259616591533,59.7552351886482,4987.14079738565,3.1188640141983,58.8772010758907,4987.06755009456,1.05994685256638,55.1037316527601,4992.58057176223,2.15451406550066,53.9632876450745,4990.29091002236,1.50384859260134,56.2899102637967,4989.96573301137,4.863019957114,58.5563810252247,4987.04957533925,1.89249764161976,58.9312541877297,4991.32399958919,3.91451559878606,59.1549982827868,4989.45507744172,3.22078294971379,55.1554064939895,4990.24615737688,1.80613531724279,58.4323784238321,4987.60957420461,0.0487550252492395,59.5478931045312,4992.68842769428,-1.00921333085563,58.8191555018469,4991.3089443274,3.22895937742595,57.1331760125535,4991.37562148707,4,4,4,3,4,3,4,4,5,5,5,5,4,3,2,1,0,1,1,2,3,2
146115,146114,"Тульская область","Город Новомосковск","Сокольники","г",10100,2285,"54.04.08","038.28.43",54.0688888888889,38.4786111111111,70724000001,1,0,0.178845369132709,56.4025707715601,5626.4332948752,2.65511039854353,56.7044423555927,5621.43518719069,-0.520767522809408,54.2060731011921,5624.47611594373,2.29698298949288,53.2971262669711,5623.05656917015,1.97142006928418,50.3780001263144,5621.66313639332,2.19189087905257,55.0819063034722,5623.00234294685,-0.582153312727517,54.514665836203,5622.15160904831,0.285672876022256,55.3983092813969,5625.2249455861,1.40382711762603,55.6353093422111,5623.09370128689,1.71006356009828,56.9477703001374,5618.5496054317,0.953026859525234,56.4357936644008,5618.50010528042,-1.66814022765881,53.2616659523267,5623.81113993217,1.32228180161295,52.0685164028676,5621.5864228951,0.427858826471997,53.4322530676548,5621.28494117454,3.32891509069154,55.898090266579,5619.56547534777,1.81911339993491,56.6582042978015,5623.77522082577,2.95259839451639,57.7150607034119,5620.50665326157,2.63750688478601,53.5170916445972,5621.70950662355,0.122599048945901,56.4263440234171,5618.79488013074,-1.83593804225942,57.8470092560695,5625.0370940869,-2.12163388295712,56.0703631741766,5622.93607467001,1.50525424272564,55.5444382855266,5623.38051270985,3,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4
154921,154920,"Республика Дагестан","Южно-Сухокумск","Южно-Сухокумск","г",10174,2785,"44.39.37","045.39.00",44.6602777777778,45.65,82738000001,0,1,-1.41915115965058,13.3774176870052,3787.11975908394,2.80874620866976,13.8491629310664,3781.88111115629,-0.930391787502297,10.8584616724662,3785.14065462475,2.69401500167015,10.8825550713853,3782.26535772182,0.841916109922811,7.53627820132984,3782.13482992041,2.19096162504362,NA,3782.28260424593,-1.04907441445882,11.2806259849462,3783.19923776479,-0.79258512483,12.1158849427483,3785.13527691659,0.235402932380481,12.6686295365268,3782.74966185998,1.36297808011211,14.8159799699231,3778.48786739812,0.398990261157516,13.4733511253429,3778.99751718462,-2.51898935120344,10.2630759931492,3784.45192299302,1.08974117947353,8.90244645276402,3779.95592993345,-0.494751013501236,11.3843596532172,3780.67305198469,2.61465370760732,13.2643660541815,3778.30532604709,1.90458126056793,13.8233750584801,3784.83351690055,2.08015710946463,13.5706783510431,3781.57733070882,2.01169916269871,10.2044702667431,3781.44728289519,0.520320612234084,13.3351889163397,3779.07266036287,-3.61950318083302,13.8675178970035,3783.55610115316,-2.26596366490103,13.5767533742147,3782.89962554089,0.284016796016709,13.9584139245912,3783.88303466,5,4,3,2,2,2,1,0,0,0,0,0,0,0,1,2,3,3,4,3,4,4
