id,region,municipality,settlement,type,population,children,latitude_dms,longitude_dms,latitude_dd,longitude_dd,oktmo,dadata,rosstat,Index_2000,Index100_2000,Value_2000,Index_2001,Index100_2001,Value_2001,Index_2002,Index100_2002,Value_2002,Index_2003,region_id
122780,Мурманская область,Городской округ ЗАТО город Заозёрск,Заозерск,г,10019,2385,69.24.01,032.27.00,69.4002777777778,32.45,47733000001.0,0,1,-0.387826855676639,41.2893958702913,777.812056988217,-0.410741799321055,41.1398394476681,777.778225055298,-0.801225190919528,41.0830815404354,776.940708838565,-1.12295177690626,54
48983,Псковская область,Печорский район,Печоры,г,10034,2221,57.48.50,027.36.33,57.8138888888889,27.6091666666667,58640101001.0,0,1,1.2973439922333,42.2775595943577,6872.032349682,2.37641718185399,43.8084565399624,,2.12982111017671,42.3627330422116,6870.47897897737,1.83832857670951,62
36980,Архангельская область,Каргопольский муниципальный район,Каргополь,г,10037,2520,61.30.19,038.56.50,61.5052777777778,38.9472222222222,11618101001.0,1,0,-0.706424639959556,51.0135469110676,8304.80678853841,2.34815381407103,51.0831531223345,8302.47442983914,0.123791611414236,49.7923897748067,8301.30420769772,1.1024067229491,33
61324,Кировская область,Уржумский район,Уржум,г,10040,2262,57.06.35,050.00.21,57.1097222222222,50.0058333333333,33641101001.0,0,1,1.18494487659251,45.5079156274293,1461.01395915807,4.50059581089616,45.0876023926164,1459.2063952896,1.49536762906294,44.0834225037775,1458.04735692644,2.36995380929478,46
146744,Нижегородская область,Володарский район,Володарск,г,10040,1789,56.13.01,043.09.35,56.2169444444444,43.1597222222222,22631103001.0,0,1,2.37588082923695,63.3180380791756,7837.08909282893,4.11804836801624,62.8958158562144,7834.23990473432,1.29143661332344,61.5405456391425,7834.24125713646,2.89925987177719,55
58421,Республика Карелия,Беломорский,Беломорск,г,10052,2215,64.31.23,034.46.00,64.5230555555556,34.7666666666667,86604101001.0,0,1,-1.64848846443123,15.2862443653945,4866.17528110039,1.25553763249584,15.8008852429427,4863.01192791773,-3.39770041403912,12.9822457926631,4864.46075112852,-1.54029446579704,10
45731,Смоленская область,Ельнинский район,Ельня,г,10070,1761,54.34.34,033.10.46,54.5761111111111,33.1794444444444,66619101001.0,0,1,0.672379795961205,91.9418047106012,9893.82326424694,3.81906481271085,92.8959422732773,9891.32308764561,-0.89376476315821,91.1599852663031,9892.17479223774,0.0569709718834199,69
93505,Республика Северная Осетия - Алания,Дигорский,Дигора,г,10075,2953,43.09.24,044.09.18,43.1566666666667,44.155,90615101001.0,1,0,2.36844452924469,58.0376859761972,4994.2620409303,5.10954495096704,59.0360022762443,4990.85164971918,0.698148214950931,55.7355896140312,4990.68010386551,2.64582954327445,16
146114,Тульская область,Город Новомосковск,Сокольники,г,10100,2285,54.04.08,038.28.43,54.0688888888889,38.4786111111111,70724000001.0,1,0,0.178845369132709,56.4025707715601,5626.4332948752,2.65511039854353,56.7044423555927,5621.43518719069,-0.520767522809408,54.2060731011921,5624.47611594373,2.29698298949288,73
154920,Республика Дагестан,Южно-Сухокумск,Южно-Сухокумск,г,10174,2785,44.39.37,045.39.00,44.6602777777778,45.65,82738000001.0,0,1,-1.41915115965058,13.3774176870052,3787.11975908394,2.80874620866976,13.8491629310664,3781.88111115629,-0.930391787502297,10.8584616724662,3785.14065462475,2.69401500167015,5
81792,Севастополь,Инкерман,Инкерман,г,10204,1875,44.36.52,033.36.32,44.6144444444444,33.6088888888889,67304000001.0,0,1,-0.813086759332252,77.3164126662106,5190.00531652448,5.60002172580462,79.0615744564382,5184.76371641113,0.713370343686552,75.838092041106,5189.79644431698,4.29525672142465,80
19491,Новгородская область,Маловишерский муниципальный район,Малая Вишера,г,10206,2269,58.50.45,032.13.04,58.8458333333333,32.2177777777778,49620101001.0,0,1,-2.44119156794034,48.7474127193619,746.365253251851,3.37944948767486,50.5669850760712,740.938267024171,-1.87701944259241,47.1544050876742,746.470369739876,0.964257935596158,56
144606,Воронежская область,Эртильский район,Эртиль,г,10207,2098,51.50.09,040.47.57,51.8358333333333,40.7991666666667,20658101001.0,0,1,-1.56856509396468,78.1839715091089,5389.38546619507,4.65176537757304,81.0415648575343,5382.72738714499,-0.38377404323998,77.0986466906332,5387.86513080797,1.03821512382681,40
150906,Новгородская область,Окуловский муниципальный район,Окуловка,г,10217,2780,58.23.27,033.17.25,58.3908333333333,33.2902777777778,49628101001.0,0,1,-0.692913835423079,3.91281257050861,9614.08413356807,4.03889311126185,7.59918369170338,9607.71114825271,-1.80185224826992,2.30714431742494,9613.64313368415,1.28525575708024,56
46104,Удмуртская республика,Камбарский,Камбарка,г,10236,2646,56.15.55,054.11.40,56.2652777777778,54.1944444444444,94620101001.0,0,1,-2.17017613680212,81.1933967410359,5282.15890756788,2.63767890569494,85.4914899552723,5276.33122267731,-3.3724778660573,79.5423423372561,5282.74133773962,-0.796976640398492,19
128134,Кировская область,Вятскополянский район,Сосновка,г,10255,1895,56.15.12,051.17.00,56.2533333333333,51.2833333333333,33610104001.0,0,1,1.61221213790054,24.8910819151089,4376.36748107045,5.74317655633938,31.225834203725,4369.94196295748,-0.739704870642849,26.2338423617416,4376.10707931863,0.876798808648752,46
142321,Псковская область,Опочецкий район,Опочка,г,10307,2287,56.42.51,028.39.36,56.7141666666667,28.66,58629101001.0,0,1,-0.0686682965536518,25.0532988908364,328.560950898357,2.88695450740668,32.7654434835244,321.7976064878,-3.15703666464968,28.2708306153737,328.184949532645,-1.86428137694143,62
