id,region,municipality,settlement,type,Population,Children,latitude_dms,longitude_dms,latitude_dd,longitude_dd,oktmo,dadata,rosstat,Index_2000,region_id
33838,Костромская область,Город Нерехта и Нерехтский район,Нерехта,г,24555,4510,57.27.16,040.34.21,57.4544444444444,40.5725,34626101001.0,0,1,-2.981478802893,47
55393,Республика Крым,Армянск,Армянск,г,24587,5139,46.06.21,033.41.28,46.1058333333333,33.6911111111111,35706000001.0,0,1,-3.77690907278441,12
90723,Московская область,Зарайский,Зарайск,г,24645,4573,54.45.25,038.52.29,54.7569444444444,38.8747222222222,46729000001.0,0,1,-2.17472899524157,53
126305,Саратовская область,Аткарский район,Аткарск,г,24649,4734,51.52.25,045.00.01,51.8736111111111,45.0002777777778,63604101001.0,0,1,-2.0831540399436,66
58126,Ивановская область,Родниковский район,Родники,г,24662,4714,57.06.26,041.44.00,57.1072222222222,41.7333333333333,24623101001.0,0,1,-0.636227811250073,41
80401,Республика Крым,Саки,Саки,г,24797,4701,45.07.32,033.35.40,45.1255555555556,33.5944444444444,35721000001.0,0,1,-0.506228549755867,12
111886,Оренбургская область,Медногорск,Медногорск,г,24896,5336,51.24.14,057.34.60,51.4038888888889,57.5833333333333,53715000.0,1,0,,59
126756,Ненецкий автономный округ,Город Нарьян-Мар,Нарьян-Мар,г,24921,5734,67.38.17,053.00.25,67.6380555555556,53.0069444444444,11851000001.0,0,1,0.149753858070008,82
52738,Кемеровская область,Тайгинский,Тайга,г,24948,5954,56.03.54,085.37.52,56.065,85.6311111111111,32740000001.0,0,1,-0.129474691462328,45
22899,Ставропольский край,Город-курорт Железноводск,Железноводск,г,24950,3976,44.07.55,043.01.50,44.1319444444444,43.0305555555556,7712000001.0,0,1,2.05489142154997,30
89139,Ставропольский край,Ипатовский район,Ипатово,г,24966,4930,45.43.06,042.53.49,45.7183333333333,42.8969444444444,7714000001.0,0,1,1.0664082062605,30
8204,Приморский край,Городской округ Партизанский,Партизанск,г,25015,7410,43.07.41,133.07.35,43.1280555555556,133.126388888889,5630000.0,1,0,4.92398119771036,29
91006,Курганская область,Шумихинский район,Шумиха,г,25036,5780,55.13.41,063.17.25,55.2280555555556,63.2902777777778,37642101001.0,0,1,0.522150295404327,48
